id,full_text,source
1157076464719650821,"RT @claskyliej: once again kylie blew me away and exceeded ALL my expectations for the birthday collection, for sure it's the BEST birthday…",Twitter for iPhone
1157076388970520576,RT @maartinaxo: @KylieJenner omg this gloss is so pretty!! 😍😍🤤 @kyliecosmetics https://t.co/QVOeZqP3GN,Twitter for iPhone
1157076364261859328,RT @maartinaxo: @KylieJenner @kyliecosmetics your packaging is always next level 😩🙌🏼🙌🏼🙌🏼🔥💸 https://t.co/8D0q4E0n8W,Twitter for iPhone
1157065342239121408,RT @babywitch143: @KylieJenner @kyliecosmetics this is the best makeup collection concept i’ve ever seen😭😍 perfect https://t.co/L3feJ2AuJo,Twitter for iPhone
1157065295380373505,"RT @schhpaulding_97: @mollydale27 @kylieskin @KylieJenner i just bought her setting powder the other day, and it is LIFE changing. let me k…",Twitter for iPhone
1157033905406402560,can you guess the theme of my brand new Birthday Collection coming August 10th? 💚💗💸 stay tuned on my insta stories for the REVEAL 😍 @kyliecosmetics https://t.co/iZbarFjjMM,Twitter Web App
1157030587393302530,RT @kyliesheart: can’t wait to see the birthday collection of @kyliejenner she always do the best packaging and the best product,Twitter for iPhone
1157030574000730112,RT @JessReichman: @KylieJenner is unreal.. her @kylieskin has worked wonders for me so far and I’m obsessed with all of her @kyliecosmetics…,Twitter for iPhone
1156997092276985857,I just finished filming the reveal.. going to post after my meeting ahh 😍,Twitter for iPhone
1156979660963471360,I can’t wait to reveal my birthday collection omg 🤤🤤😋,Twitter for iPhone
1156979588070686721,RT @iamrastablanca: me refreshing instagram waiting for @KylieJenner to reveal her birthday collection @kyliecosmetics https://t.co/EmywXwH…,Twitter for iPhone
1156979328044814336,💗💗 https://t.co/vRkSeXLNFE,Twitter for iPhone
1156979227805118464,"RT @elle_millison: So not only are @kylieskin products amazing, but I gotta give a shout-out to customer service. My package got lost in th…",Twitter for iPhone
1156979182405967872,RT @lidayavarii: ok @KylieJenner did her thing with this body lotion😍😍😍 @kylieskin,Twitter for iPhone
1156620874260205569,"make sure you guys stop by @ultabeauty this week to get 2 for $20 on my lip singles! Sale ends Saturday, so don't miss out 💖",Twitter Web App
1156593728305262592,last chance to shop my July Favorites bundle! https://t.co/kqSelSL45B,Twitter for iPhone
1156322380903399424,I see all your @kylieskin reviews daily!! I wish i could post them all. You don’t even understand how good it makes me feel to know so many of you are falling in love just like i did 💗 thank you for the support and trust i promise i got you 😉 https://t.co/n1uvmPB0xY ✨🦋 https://t.co/RuoLxigNPW,Twitter Web App
1156046278884618240,"Hi guys! There was a delay on the @kylieskin vac tray boxes arriving to my warehouse, so we won’t be able to restock tomorrow 😢 But stay tuned for a new restock date very soon. #KylieSkin",Twitter for iPhone
1155946948639068161,RT @_stellafuentes: My coworkers love my @KylieJenner @kyliecosmetics Klear &amp; Crystal glosses they ordered themselves a couple of glosses 😂,Twitter for iPhone
1155946835447439371,RT @_nhanley: Okay so I bought @kylieskin and it WORKSSSSS my skin has gone so clear and smooth I love ittt😍😍😍 @KylieJenner,Twitter for iPhone
1155946791684079617,💗♥️ https://t.co/OtQLhF3GQb,Twitter for iPhone
1155857460231471105,Last day to shop my 2 for $20 sale at https://t.co/bDaiohhXCV and @ultabeauty stores nationwide! Happy #NationalLipstickDay ❤️ https://t.co/k9MB8IbKB3,Twitter for iPhone
1155478642496954369,NEW at @ultabeauty today!! All 30 shades of my @kyliecosmetics skin concealers and my setting powders 💕 so excited you guys can now try these in person and find your shades. Stores open at 11! #UltaBeauty https://t.co/CGgUi7Em04,Twitter for iPhone
